Employee Key,Parent Employee Key,Employee,Title,Email
0,,Unknown,,
3,4.0,Hudson Onslow,Salesperson,hudson.onslow@wideworldimporters.com
4,19.0,Isabella Rupp,Manager,isabella.rupp@wideworldimporters.com
6,4.0,Sophia Hinton,Salesperson,sophia.hinton@wideworldimporters.com
7,4.0,Amy Trefl,Salesperson,amy.trefl@wideworldimporters.com
8,12.0,Anthony Grosse,Salesperson,anthony.grosse@wideworldimporters.com
12,19.0,Henry Forlonge,Manager,henry.forlonge@wideworldimporters.com
13,12.0,Hudson Hollinworth,Salesperson,hudson.hollinworth@wideworldimporters.com
14,20.0,Lily Code,Salesperson,lily.code@wideworldimporters.com
15,20.0,Taj Shand,Salesperson,taj.shand@wideworldimporters.com
16,20.0,Archer Lamble,Salesperson,archer.lamble@wideworldimporters.com
19,,Jai Shand,Director,jai.shand@wideworldimporters.com
20,19.0,Jack Potter,Manager,jack.potter@wideworldimporters.com
